cbsa,metro_name,yr,qtr,index_nsa,index_sa
10580,"Albany-Schenectady-Troy, NY",1991,1,100.00,100.00
10580,"Albany-Schenectady-Troy, NY",1991,2,99.86,100.32
10580,"Albany-Schenectady-Troy, NY",1991,3,100.20,100.39
10580,"Albany-Schenectady-Troy, NY",1991,4,99.83,98.77
10580,"Albany-Schenectady-Troy, NY",1992,1,102.83,102.90
10580,"Albany-Schenectady-Troy, NY",1992,2,100.70,101.13
10580,"Albany-Schenectady-Troy, NY",1992,3,101.04,101.21
10580,"Albany-Schenectady-Troy, NY",1992,4,103.51,102.41
10580,"Albany-Schenectady-Troy, NY",1993,1,101.90,102.12
10580,"Albany-Schenectady-Troy, NY",1993,2,99.79,100.06
10580,"Albany-Schenectady-Troy, NY",1993,3,100.05,100.15
10580,"Albany-Schenectady-Troy, NY",1993,4,99.35,98.39
10580,"Albany-Schenectady-Troy, NY",1994,1,97.75,98.12
10580,"Albany-Schenectady-Troy, NY",1994,2,98.12,98.18
10580,"Albany-Schenectady-Troy, NY",1994,3,97.13,97.12
10580,"Albany-Schenectady-Troy, NY",1994,4,98.62,97.87
10580,"Albany-Schenectady-Troy, NY",1995,1,95.79,96.29
10580,"Albany-Schenectady-Troy, NY",1995,2,94.81,94.64
10580,"Albany-Schenectady-Troy, NY",1995,3,94.87,94.75
10580,"Albany-Schenectady-Troy, NY",1995,4,94.57,94.06
10580,"Albany-Schenectady-Troy, NY",1996,1,91.81,92.37
10580,"Albany-Schenectady-Troy, NY",1996,2,93.63,93.33
10580,"Albany-Schenectady-Troy, NY",1996,3,92.42,92.13
10580,"Albany-Schenectady-Troy, NY",1996,4,91.30,91.02
10580,"Albany-Schenectady-Troy, NY",1997,1,93.11,93.73
10580,"Albany-Schenectady-Troy, NY",1997,2,94.86,94.51
10580,"Albany-Schenectady-Troy, NY",1997,3,92.67,92.18
10580,"Albany-Schenectady-Troy, NY",1997,4,91.89,91.77
10580,"Albany-Schenectady-Troy, NY",1998,1,91.27,91.90
10580,"Albany-Schenectady-Troy, NY",1998,2,90.84,90.55
10580,"Albany-Schenectady-Troy, NY",1998,3,93.93,93.21
10580,"Albany-Schenectady-Troy, NY",1998,4,93.89,93.86
10580,"Albany-Schenectady-Troy, NY",1999,1,93.02,93.72
10580,"Albany-Schenectady-Troy, NY",1999,2,94.39,94.20
10580,"Albany-Schenectady-Troy, NY",1999,3,95.66,94.70
10580,"Albany-Schenectady-Troy, NY",1999,4,95.12,95.09
